Gene	Simulated_P_values 
APOF	0.0355261
TSTA3	0.0355277
SSX4B	0.0356081
PDIK1L	0.0356868
THOC4	0.035764
MAN2A1	0.0358428
PRR19	0.0359231
NOL8	0.0360019
DHRS7B	0.0360791
DCP1A	0.0360791
FFAR2	0.0361594
KHDRBS1	0.0362382
AHCYL2	0.036317
YBX1	0.0363957
BPTF	0.0364745
SETD6	0.0365532
AP1S2	0.036632
PIGA	0.0366336
SLC2A1	0.0367108
PCTP	0.0369455
EPRS	0.0369975
NDRG4	0.0370243
NFYC	0.037103
SLCO2B1	0.0371834
PRO1853	0.0372606
ARL14	0.0374968
ZMAT2	0.0374984
SELO	0.0375772
ABHD8	0.037656
PIPOX	0.0377331
TMED8	0.0378119
GNS	0.0378907
MAGED1	0.0380482
LAPTM5	0.038127
TRIP12	0.0381285
CYC1	0.0381301
RAPSN	0.0382089
CR1	0.0382876
MYD88	0.0383648
KLHL22	0.0384436
SULT1A1	0.0385224
MAGEL2	0.0386783
TICAM2	0.0386799
NISCH	0.0387618
ADRA2B	0.038839
RAB5B	0.0389193
ANAPC11	0.0389981
MAFB	0.0391509
RASA1	0.0392265
PSCD2	0.0393084
ZC3HAV1	0.0393872
CDCA5	0.039466
ZEB2	0.0396219
GPR1	0.0396235
MRPS17	0.0397038
PNMA1	0.0397858
CHMP2A	0.0398598
SOX4	0.0399433
VAC14	0.0400189
GOPC	0.0400992
SDHD	0.040178
CDC14A	0.0402568
CAPN7	0.0403355
ERAL1	0.0403355
SLC30A1	0.0404143
SERPINB5	0.0404946
GOLGA8F	0.0406601
SFRS2IP	0.0408066
SSR2	0.0408081
MBD6	0.0409657
KRTAP5-11	0.0409704
LIN28B	0.0410476
ARMET	0.0411232
SERINC1	0.0412114
KLHDC8B	0.0412807
WNT16	0.0413611
TTTY19	0.041517
ARMCX3	0.0415769
USP39	0.041673
TTTY14	0.0416745
RPL15	0.0417549
GPSM3	0.0418336
NUBP1	0.0419896
FBXO11	0.0419912
ADD3	0.0420684
TBL1X	0.0422243
PRAMEF5	0.0422243
DDX60	0.0423062
CIDEA	0.0423819
TEX101	0.0424606
ZNF620	0.042541
PSMC6	0.0426213
GOLGA3	0.0426969
PFKFB3	0.0427757
ZFP36L2	0.042856
RPS6KC1	0.0429316
NEUROG3	0.0430104
EXOC6	0.0430892
HSPB2	0.0431679
AQP9	0.0432467
G0S2	0.0433255
DKFZP564C196	0.0434846
LIPJ	0.0434861
SUCLA2	0.0435649
ZCCHC17	0.0436421
PPM1K	0.0437193
COQ10A	0.0438768
ANKRD11	0.0438768
RBL2	0.0440343
NUMB	0.0440375
TEPP	0.0440375
CCNG1	0.0441241
EPPB9	0.0442706
SCEL	0.0443494
TRIML2	0.0444266
SLFN12	0.0445069
DTWD1	0.0446645
NOL14	0.0446708
LY6G6C	0.0447432
MACF1	0.044822
GLCE	0.0449023
CRTC2	0.0449795
NOL11	0.0450583
TBPL1	0.0451371
PRKAR2B	0.0452174
SH2D5	0.0452946
TSC1	0.0453844
SHQ1	0.0454537
PRPF38B	0.045534
CBWD1	0.0456112
DGAT2	0.0457435
CPSF2	0.0457703
DLG1	0.0458475
TRIM21	0.0458491
EPS15L1	0.0460035
NXF4	0.0460822
TMEM59	0.046161
INTS7	0.046161
TXNDC6	0.0463201
ZFYVE21	0.0463973
GBP4	0.0464776
TRMT1	0.0465564
FAM71A	0.0466336
CYP4Z2P	0.0467832
SAE1	0.0467911
EIF4A3	0.0468683
FAM62A	0.0469471
NUP88	0.0470258
CAMP	0.0471834
ZNF497	0.0471865
SFRS12	0.0472637
PRUNE2	0.0473425
XPO6	0.0474197
RPL39	0.0474984
RBM12	0.0475819
FST	0.0476623
IGBP1	0.0477394
BPHL	0.0478214
CNNM4	0.0478986
MRPS35	0.0480545
TRIM69	0.0480545
ZNF133	0.0480577
BAD	0.0482136
TSPAN10	0.0482908
ACAT2	0.0483696
RIOK1	0.0484499
TSG101	0.0485239
ASTL	0.0486059
UBE2H	0.0486846
RPL27A	0.0487602
RPS15	0.048839
TAOK1	0.0489178
HHEX	0.0490265
ZBTB34	0.0490769
ATP5G2	0.0491556
SDSL	0.0492344
RTN3	0.0493904
RPL9	0.0494707
HNRNPD	0.0494723
ERGIC3	0.0495542
OR5M10	0.0496298
EXOC1	0.0497086
CLDN18	0.0497905
VPS36	0.0498677
BCL6B	0.0499449
