Gene	Simulated_P_values
C10orf71	0.0194662
PRM1	0.0196183
NUDT1	0.0196655
ARHGEF9	0.0197704
C5orf20	0.0197704
FBLN2	0.0198479
TXNDC3	0.0199985
RGS18	0.0199985
CYB5R4	0.0200776
ZNF354B	0.0202266
TDRD5	0.0202266
C1orf109	0.0203026
FOXP4	0.0204547
PIP	0.0204562
HES4	0.0206068
CRYBA1	0.0206083
CDH17	0.0207588
AAAS	0.0208349
FXYD7	0.0209109
TPO	0.0209869
CRELD1	0.0209884
CDIPT	0.0210645
TMEM59	0.021139
NPC2	0.021215
GPR62	0.0212926
SSX9	0.0213762
SSX7	0.0213762
HMOX1	0.0215207
TSSK4	0.0215967
SLC22A12	0.0217473
C6orf114	0.0218233
CORO6	0.0218263
FBXO15	0.0219009
AFMID	0.0219754
RSPO1	0.0221274
MGAM	0.022129
SHARPIN	0.022205
IFNG	0.0222825
WRB	0.0224316
CSMD3	0.0225061
C16orf3	0.0225836
PPP2R1A	0.0225836
PSMC1	0.0227357
POP7	0.0228117
TP53TG3	0.0228117
FOXQ1	0.0228878
MRPS17	0.0230398
DLX5	0.0231159
CD2	0.0231919
MYBPH	0.0232679
ERCC2	0.023344
ROPN1B	0.023347
G6PD	0.0234945
GZMB	0.0235721
LAMB2	0.0235736
OXA1L	0.0237029
GALNT9	0.0237257
EXOSC8	0.0238002
B4GALT2	0.0239523
RBBP8	0.0240283
ANKRD13B	0.0241013
CDR1	0.0241043
DMAP1	0.0241819
ITGA5	0.0243324
MUM1L1	0.0243324
ZBTB12	0.0244845
ZNF600	0.0244845
SHFM1	0.0245605
HAPLN2	0.0247126
ITIH3	0.0247886
AGBL4	0.0248647
HIST1H4F	0.0248662
ACTA1	0.0249422
NPPC	0.0250167
OR4D1	0.0250928
LRRC33	0.0251688
GJB6	0.0252448
MEP1A	0.0253209
RPTN	0.0253969
FOXA2	0.0254729
PCYT2	0.0255505
RPS3	0.025628
PRSS36	0.0257771
PRSS12	0.0258531
POLE2	0.0258531
CST9L	0.0260052
POLR2G	0.0260052
C1orf54	0.0261572
MRPL11	0.0262333
TFDP3	0.0262363
HCCS	0.0263093
MRPL40	0.0263853
TBX20	0.0265374
CNGA3	0.0265663
DQX1	0.0266134
DEFB123	0.0267655
HIST1H2AC	0.0267655
BTN1A1	0.0268415
PJA1	0.0269936
PLSCR2	0.0269936
SCGN	0.0271442
GPR173	0.0271457
RPL6	0.0272217
COG4	0.0272977
NKD2	0.0274255
SHCBP1	0.0275259
PIR	0.0276004
CD33	0.0276779
SNX30	0.0276779
VEGFC	0.02783
AFP	0.027833
IL17F	0.0279075
CDH5	0.0279821
FAM43B	0.0280596
TAS2R13	0.0282102
MAP4K2	0.0282223
SLC35A4	0.0282862
ZNF541	0.0284383
HEXB	0.0284383
SIDT1	0.0285903
MAGEE2	0.0286664
TERF2IP	0.0286664
CHRDL2	0.0287424
CDCA7L	0.02882
MIA	0.028969
KIF18A	0.0290465
MUC2	0.0290465
SELL	0.0291286
HOXC8	0.0291986
PI4K2B	0.0293507
ZC3H8	0.0294267
LRRC32	0.0294267
CSTL1	0.0295043
RPL27A	0.0296548
GPR15	0.0296563
ID1	0.0297324
XKRX	0.0298829
EDARADD	0.0298844
KRTAP19-1	0.0299589
ZMPSTE24	0.030035
WISP2	0.030187
ADAM2	0.0301886
GPRC5A	0.0303391
MAD2L1BP	0.0303391
VN1R4	0.0304912
GPR21	0.0305672
BFAR	0.0306432
PTDSS2	0.0307178
C9	0.0307953
FCN3	0.0308501
KIF20A	0.0308729
SLC30A3	0.0310234
UBE4A	0.0310234
NDUFAB1	0.031101
PNLDC1	0.0311785
SYTL5	0.0313276
C14orf45	0.0314036
PIM1	0.0314796
DUSP11	0.0314796
ALG14	0.0315557
OR2H2	0.0316317
SORCS3	0.0317077
BEX1	0.0318598
DNAJB8	0.0319069
PSMD3	0.0319358
MMP7	0.0320149
SLC13A1	0.0321639
ALX4	0.032167
A4GNT	0.03224
ADAM32	0.032316
C1orf51	0.0324681
UTF1	0.0325441
ZNF627	0.0325456
RNF11	0.0326201
C20orf96	0.0327707
CMA1	0.0327737
HCST	0.0328482
C10orf27	0.0330003
OMP	0.0330018
SLC39A1	0.0331524
HIAT1	0.0331554
KIF7	0.033306
MC5R	0.0333075
SST	0.0333835
USP1	0.0335341
YTHDF1	0.0336101
ACO1	0.0336101
TATDN1	0.0336877
FIGF	0.0337622
VDAC2	0.0338397
GDF9	0.0339127
CACHD1	0.0340648
SGTB	0.0341408
ZNF18	0.0342168
TDRD7	0.0342929
RLN3	0.0342929
ACCN5	0.0343689
SLCO5A1	0.0344465
SPACA3	0.034521
CHPF	0.0346731
DUSP9	0.0347491
C1QTNF4	0.0347491
SH3GL1	0.0349012
GRIP2	0.0349027
SRPX	0.0349802
EFNA3	0.0351293
IRF2BP1	0.0351293
DPPA3	0.0352053
NPM3	0.0352813
SERPINB12	0.0353589
FOXD4	0.0354334
DUSP5	0.0355855
TRIP13	0.03566
GLRA2	0.0357375
C6orf141	0.0357375
MMP3	0.0358896
SPATC1	0.0359656
KLHL11	0.0359656
SNF8	0.0361177
ALDH1A1	0.0361177
CD3G	0.0362698
AMIGO2	0.0363458
NMB	0.0364218
GDNF	0.0364218
KRTAP10-11	0.0364979
MRPL13	0.0365754
C20orf144	0.0366499
PDF	0.0368005
TIGD1	0.036802
GPR25	0.0369541
HSPA1A	0.0370301
SGIP1	0.0370332
HESX1	0.0371077
WBP2	0.0372582
CHAT	0.0372582
MEPE	0.0373342
GZMA	0.0374863
SNRPD1	0.0375623
SH2D2A	0.0376384
CCL17	0.0377144
LRRC42	0.0377144
PDHA2	0.0378665
NAPSA	0.0379425
PRIMA1	0.0380186
CYP11B2	0.0380186
XAGE3	0.0381706
GABRA6	0.0382467
CDH16	0.0382467
C9orf79	0.0383242
WFDC10A	0.0383987
SKIV2L	0.0385508
TCEA3	0.0386268
ACCN1	0.0387029
STXBP1	0.0387029
CHSY1	0.0388549
PSMA6	0.038931
ACR	0.038931
FGF16	0.039007
C20orf152	0.0391591
TIGD3	0.0391636
SAGE1	0.0393111
PUS1	0.0393111
C1orf9	0.0393872
SERTAD1	0.0395392
DPH2	0.0395392
ILF2	0.0396168
FPGS	0.0397673
BICC1	0.0397673
GABRR3	0.0399194
POP5	0.0399696
SLC27A6	0.039997
MYF6	0.040146
BSCL2	0.0402235
GLDN	0.0402996
KCNN4	0.0403756
C1orf103	0.0404516
DMRTC2	0.0404516
RASL11A	0.0405277
ARPC3	0.0406797
RANBP6	0.0406797
SLC20A2	0.0408318
LEMD2	0.0409078
CASP14	0.0409078
ARRDC4	0.0409839
BBS5	0.0410599
LHX3	0.0412029
SLC6A1	0.041288
WBP1	0.041288
GABRR2	0.0414386
PMM2	0.0415161
DDX21	0.0415922
ZNF304	0.0415967
THBS4	0.0416697
SCN10A	0.0418203
IL9	0.0418203
PLCZ1	0.0418978
UQCRFS1	0.0419738
OCM	0.0421244
PRKAR2B	0.0421244
IAPP	0.0422004
MOAP1	0.0423525
CXCL1	0.0423525
PRY	0.04243
TNIP1	0.0425806
LSM3	0.0425806
ANP32D	0.0427327
CNIH	0.0427327
TRPM5	0.0428087
GSTM5	0.0429608
TTC13	0.0430368
IFNB1	0.0430368
MCRS1	0.0431889
LIN28B	0.0432649
ST6GALNAC2	0.0432649
C1orf74	0.043417
C1orf172	0.0434185
ZBTB7B	0.043493
CACNG7	0.043569
KRT16	0.0436466
POLD3	0.0437211
ZP1	0.0438732
RNF148	0.0438732
KCNH3	0.0441013
KPTN	0.0441013
DNMT3B	0.0441013
EME1	0.0441773
RRH	0.0442533
TRIM68	0.0443324
ZCCHC5	0.0444784
NOX3	0.044483
ARHGEF18	0.0446335
PBK	0.0446335
PGAM2	0.0447719
PEX3	0.0447886
MBTD1	0.0448631
PPM1M	0.0449392
IL17RD	0.0450152
AKR1C4	0.0451658
TAS2R9	0.0451658
SOSTDC1	0.0453178
CENPB	0.0453923
CCL16	0.0453939
PIK3C2G	0.0455459
C14orf142	0.045622
SULT1A2	0.045622
NDP	0.045698
DMRT1	0.0458485
TEPP	0.0459018
EVX1	0.0460021
FBXW10	0.0460782
GPR12	0.0460797
SPP2	0.0461557
LY6G5C	0.0462302
GDF1	0.0463078
PAK1IP1	0.0464583
CITED1	0.0464599
SP7	0.0466104
HDGFL1	0.0466864
SPATA12	0.0466864
MAGEL2	0.0468142
SLN	0.0468385
ZNF417	0.0469891
LGALS12	0.0470392
PPYR1	0.0471426
LRRC18	0.0471442
NPTX2	0.0472202
TTYH3	0.0473707
TMED3	0.0473723
TSPYL4	0.0475061
ATOH1	0.0475988
CST2	0.0476749
SLC16A14	0.0476749
BTN2A3	0.0477524
MRGPRX2	0.0478269
NES	0.047903
ATG16L2	0.047979
TNFAIP3	0.048055
CD3E	0.0481311
S100A3	0.0482832
HOXC10	0.0483592
GJB4	0.0483592
RNF185	0.0485113
REM1	0.0485113
DEFB108B	0.0486633
ST6GALNAC5	0.0486648
FOXF2	0.0487409
USP44	0.0488154
C21orf67	0.0488914
ZCWPW2	0.0490435
MAPK6	0.0491195
ZNF23	0.049121
ITK	0.0491956
SYT16	0.0492716
HSF4	0.0493491
HAO1	0.0494252
CCR10	0.0494997
ANKRD7	0.0495773
FOXK1	0.0496533
HK3	0.0497278
TCN1	0.0498799
CD5L	0.0498799
CBFA2T3	0.0499559
